geo_value,time_value,weekly_hosp,weekly_admits_p100K
ri,2020-11-25,189,17.840943738725514
sc,2020-11-25,637,12.372021440693734
sd,2020-11-25,434,49.05845077029681
tn,2020-11-25,1940,28.40753508403798
tx,2020-11-25,8170,28.17641581574983
us,2020-11-25,86419,26.32802997340451
ut,2020-11-25,650,20.274750948078548
va,2020-11-25,1078,12.629577650755623
vt,2020-11-25,27,4.326999354155282
wa,2020-11-25,696,9.139983976137287
wi,2020-11-25,3019,51.851167398376695
wv,2020-11-25,490,27.34150714199226
wy,2020-11-25,249,43.02308905779435
ak,2020-11-26,164,22.418306460983263
al,2020-11-26,1456,29.694983974702154
ar,2020-11-26,922,30.55201729469508
az,2020-11-26,1932,26.54313940217761
ca,2020-11-26,6497,16.443013089898788
co,2020-11-26,1900,32.99335131876162
ct,2020-11-26,745,20.8959334830548
dc,2020-11-26,140,19.83708088853119
de,2020-11-26,222,22.798131785525037
fl,2020-11-26,3862,17.981410238890625
ga,2020-11-26,2596,24.450377459765892
hi,2020-11-26,34,2.4013470144193825
ia,2020-11-26,1208,38.287581575052215
id,2020-11-26,410,22.942646182427612
il,2020-11-26,4232,33.39693639927521
in,2020-11-26,2597,38.57569101658755
ks,2020-11-26,1239,42.528886347300705
ky,2020-11-26,2710,60.657975639667455
la,2020-11-26,1135,24.41493428188042
ma,2020-11-26,867,12.578884622901144
md,2020-11-26,1402,23.190112609334268
me,2020-11-26,89,6.620979428840093
mi,2020-11-26,3598,36.0273507470869
mn,2020-11-26,1523,27.005308147765668
mo,2020-11-26,2158,35.161308613314894
ms,2020-11-26,882,29.635613001902794
mt,2020-11-26,552,51.647769695858265
nc,2020-11-26,1516,14.454499029565362
nd,2020-11-26,327,42.90989447052864
ne,2020-11-26,765,39.54698284953329
nh,2020-11-26,117,8.60476969002972
nj,2020-11-26,2418,27.223015945391847
nm,2020-11-26,851,40.585093014261055
nv,2020-11-26,977,31.71917266528059
ny,2020-11-26,3737,19.209850576971483
oh,2020-11-26,4594,39.30157154956326
ok,2020-11-26,2403,60.72826917356736
or,2020-11-26,433,10.266168800947048
pa,2020-11-26,3893,30.409337174090684
ri,2020-11-26,187,17.652150683289268
sc,2020-11-26,643,12.488555394609216
sd,2020-11-26,402,45.44123781027492
tn,2020-11-26,1879,27.51430846541617
tx,2020-11-26,7939,27.379750937728016
us,2020-11-26,85020,25.901816826610485
ut,2020-11-26,626,19.526144759226415
va,2020-11-26,1091,12.781882390514273
vt,2020-11-26,28,4.487258589494366
wa,2020-11-26,692,9.087455332596269
wi,2020-11-26,2914,50.047797879718345
wv,2020-11-26,488,27.229909153657594
wy,2020-11-26,244,42.159171606834626
ak,2020-11-27,154,21.051336554825745
al,2020-11-27,1514,30.877888556111998
ar,2020-11-27,919,30.45260726011365
az,2020-11-27,1984,27.257551021697918
ca,2020-11-27,6871,17.389555631936982
co,2020-11-27,1887,32.7676073360543
ct,2020-11-27,808,22.66297215343393
dc,2020-11-27,128,18.13675966951423
de,2020-11-27,226,23.208908934813774
fl,2020-11-27,4056,18.884671136442353
ga,2020-11-27,2598,24.469214422369724
hi,2020-11-27,32,2.2600913076888305
ia,2020-11-27,1154,36.57605061060452
id,2020-11-27,438,24.50946104366657
il,2020-11-27,4183,33.01025164417963
in,2020-11-27,2635,39.14014086588687
ks,2020-11-27,1199,41.155879524143295
ky,2020-11-27,2667,59.6955059154956
la,2020-11-27,1167,25.103284851942245
ma,2020-11-27,868,12.593393140343935
md,2020-11-27,1472,24.34796416614839
me,2020-11-27,100,7.4393027290338125
mi,2020-11-27,3708,37.12879837971045
mn,2020-11-27,1568,27.803232551343775
mo,2020-11-27,2118,34.50956980676596
ms,2020-11-27,885,29.736414406671173
mt,2020-11-27,531,49.68290889221147
nc,2020-11-27,1548,14.75960718850078
nd,2020-11-27,326,42.778671551658526
ne,2020-11-27,763,39.44359204469791
nh,2020-11-27,133,9.781490331401304
nj,2020-11-27,2450,27.58328745500828
nm,2020-11-27,818,39.01128799725681
nv,2020-11-27,1029,33.40739884603247
ny,2020-11-27,3828,19.677631257331242
oh,2020-11-27,4591,39.275906613853934
ok,2020-11-27,2377,60.071200926162966
or,2020-11-27,438,10.384715784791702
pa,2020-11-27,4044,31.588841390193352
ri,2020-11-27,193,18.218529849598013
sc,2020-11-27,659,12.799312605050504
sd,2020-11-27,404,45.66731362027629
tn,2020-11-27,1895,27.748597414562877
tx,2020-11-27,7760,26.762421876403753
us,2020-11-27,85975,26.192762898939502
ut,2020-11-27,631,19.682104381903944
va,2020-11-27,1118,13.098207619243775
vt,2020-11-27,27,4.326999354155282
wa,2020-11-27,693,9.100587493481523
wi,2020-11-27,2906,49.91039829734437
wv,2020-11-27,480,26.783517200318947
wy,2020-11-27,235,40.604120195107114
ak,2020-11-28,148,20.231154611131235
al,2020-11-28,1537,31.346971407360723
ar,2020-11-28,917,30.386333903726022
az,2020-11-28,2009,27.601018146467297
ca,2020-11-28,7185,18.184246429263165
co,2020-11-28,1934,33.58375865814998
ct,2020-11-28,821,23.02759918065502
dc,2020-11-28,138,19.553694018695033
de,2020-11-28,247,25.36548896857966
fl,2020-11-28,4124,19.20127804898626
ga,2020-11-28,2670,25.147345076107452
hi,2020-11-28,33,2.3307191610541067
ia,2020-11-28,1158,36.70283068204509
id,2020-11-28,445,24.90116475897631
il,2020-11-28,4154,32.78139740136797
in,2020-11-28,2605,38.694522563808455
ks,2020-11-28,1201,41.224529865301164
ky,2020-11-28,2757,61.70997743120412
la,2020-11-28,1204,25.899190198576232
ma,2020-11-28,905,13.13020828572726
md,2020-11-28,1473,24.36450490267431
me,2020-11-28,101,7.513695756324152
mi,2020-11-28,3871,38.760943508052634
mn,2020-11-28,1569,27.820964204756624
mo,2020-11-28,2116,34.47698286643851
ms,2020-11-28,880,29.568412065390543
mt,2020-11-28,510,47.71804808856469
nc,2020-11-28,1583,15.093319237336392
